zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent,year
89010,415,264,2,27,1,105,0,16,0.636144578313253,2010
89019,2673,1922,83,19,118,434,8,80,0.7190422745978301,2010
89060,10227,8101,191,98,109,1380,14,292,0.7921189009484697,2010
89061,5252,4132,126,60,90,696,9,113,0.7867479055597868,2010
89439,1417,1293,3,7,16,68,0,18,0.9124911785462244,2010
90001,57110,356,5857,39,86,50544,85,129,0.0062335843109788,2010
90002,51223,330,12723,62,102,37598,84,303,0.0064424184448392,2010
90003,66266,462,15672,80,105,49386,171,372,0.0069719011257658,2010
90004,62180,10466,1962,94,16540,31987,216,876,0.1683177870697973,2010
90005,37681,3039,1788,35,12661,19578,81,490,0.0806507258299939,2010
90006,59185,1861,1862,77,10822,44074,146,311,0.0314437779842865,2010
90007,40920,7053,4306,39,6243,22167,207,871,0.1723607038123167,2010
90008,32327,731,22152,63,820,7561,173,803,0.022612676709871,2010
90010,3800,723,160,3,2503,343,4,63,0.1902631578947368,2010
90011,103892,720,9189,53,499,92879,224,320,0.0069302737458129,2010
90012,31103,4342,4085,46,13637,8426,57,462,0.1396006816062759,2010
90013,11772,3301,3731,103,1814,2409,34,366,0.2804111450900441,2010
90014,7005,2158,2005,60,1135,1379,18,240,0.3080656673804425,2010
90015,18986,1944,1240,22,2638,12875,60,198,0.102391235647319,2010
90016,47596,2127,17291,103,1434,25462,247,898,0.0446886292965795,2010
90017,23768,2335,1296,58,3198,16526,67,265,0.0982413328845506,2010
90018,49310,1833,15111,98,1777,29312,328,810,0.0371729872236868,2010
90019,64458,8068,14712,113,10047,29701,351,1429,0.1251667752645133,2010
90020,38967,4030,2140,42,18407,13638,132,556,0.1034208432776451,2010
90021,3951,858,1200,29,156,1631,11,63,0.2171602126044039,2010
90022,67179,1163,140,99,449,65152,78,86,0.0173119576057994,2010
90023,45903,508,119,49,236,44854,62,59,0.0110668148051325,2010
