zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent
89010,512,327,7,14,0,157,0,7,0.638671875
89019,1748,1320,64,0,77,285,0,2,0.7551487414187643
89060,9373,6772,529,27,36,1726,0,211,0.7225008001707031
89061,5360,4098,121,72,336,496,0,186,0.7645522388059701
89439,1465,1361,6,13,0,71,0,14,0.9290102389078498
90001,58738,351,5275,12,88,52771,169,72,0.0059756886512989885
90002,52856,255,11215,310,299,40393,137,216,0.004824428636294838
90003,70490,473,15309,51,200,54113,102,242,0.006710171655553979
90004,62733,10709,2410,41,15501,32214,303,1226,0.1707076020595221
90005,39562,3045,2328,122,13740,19591,101,558,0.07696779738132552
90006,62329,2444,1798,71,11280,46039,167,431,0.03921128206773733
90007,41221,6835,4410,59,8250,20483,184,859,0.1658135416413964
90008,32359,1402,21240,88,1049,7520,264,742,0.04332643159553756
90010,3759,630,160,2,2471,393,11,92,0.16759776536312848
90011,108051,626,8799,108,579,97454,132,145,0.005793560448306818
90012,33783,5266,4182,203,13619,9644,150,625,0.15587721635141935
90013,11957,3409,3630,56,2002,1954,136,752,0.28510495943798614
90014,7408,3156,1305,44,1171,1318,80,334,0.42602591792656586
90015,20187,2645,1307,14,2985,13033,14,178,0.13102491702580868
90016,46303,3718,14918,51,1785,24579,347,905,0.08029717296935404
90017,26390,3140,1330,17,4050,17274,0,447,0.11898446381205002
90018,52287,2600,15706,7,2209,30542,356,800,0.049725553196779314
90019,67415,10053,12156,72,10951,32146,380,1584,0.149121115478751
90020,39191,4541,1857,118,18763,12537,82,949,0.11586843918246537
90021,3158,687,712,33,52,1517,0,157,0.2175427485750475
90022,67446,1445,137,131,844,64699,132,41,0.021424547045043443
90023,47229,797,274,9,394,45724,0,31,0.016875224967710517
90024,49718,25858,1018,39,14327,6141,131,2178,0.5200933263606742
90025,47453,25157,1410,0,9772,8493,95,2491,0.530145617769161
90026,68609,17399,2455,82,11061,36000,41,1488,0.25359646693582477
90027,45616,27398,1096,0,5851,9531,244,1428,0.6006225885654156
90028,31054,15068,2636,175,2753,9159,117,1135,0.48521929542087977
90029,38843,9471,1069,9,6741,20876,68,526,0.24382771670571274
90031,39103,3025,295,42,9211,26083,57,342,0.07735979336623788
90032,47766,3516,620,142,4575,38474,99,295,0.07360884311016204
90033,48841,1330,673,77,2524,44016,36,161,0.027231219671996886
90034,56070,22415,5121,147,10352,15258,601,2013,0.3997681469591582
90035,29920,21065,2119,0,2166,3283,83,1191,0.7040441176470589
90036,38116,23516,1745,50,7408,3495,397,1424,0.616958757477175
90037,63238,1067,11180,91,648,49479,367,406,0.016872766374648154
90038,27957,8468,1546,9,1413,15668,149,704,0.3028937296562578
90039,29092,11514,440,173,4669,11079,70,1081,0.3957789082909391
90040,12925,178,187,99,114,12262,18,67,0.013771760154738879
90041,28651,8386,345,0,8155,10761,69,832,0.29269484485707303
90042,63788,10129,1494,125,7871,42600,283,1190,0.1587916222486988
90043,44571,1499,26208,23,507,15128,429,733,0.03363173363846447
90044,94680,955,32054,84,467,60011,137,964,0.010086607520067596
90045,41420,20393,5402,70,5804,7342,176,2169,0.4923466924191212
90046,51615,38208,2661,55,3273,5273,140,1958,0.7402499273467016
90047,48491,873,30846,10,335,15413,198,701,0.018003340826132683
90048,22860,17357,675,33,1875,1987,73,848,0.7592738407699038
90049,36362,29224,502,8,3152,2092,39,1345,0.8036961663274848
90056,8014,1003,5504,0,421,667,0,419,0.1251559770401797
90057,49389,2902,2108,38,9565,34052,80,511,0.058758023041567964
90058,3189,70,184,0,42,2870,0,12,0.021950454687989965
90059,47351,472,14453,2,279,31765,164,216,0.009968110493970561
90061,28003,240,8969,32,79,18225,67,380,0.008570510302467593
90062,33627,430,10688,0,428,21266,352,420,0.01278734350373212
90063,53556,1026,181,22,645,51481,80,100,0.019157517365001122
90064,26007,16369,962,56,4634,3123,62,769,0.6294074672203638
90065,48420,9212,802,0,7463,29960,97,867,0.1902519619991739
90066,59747,27924,2313,143,8369,18077,240,2599,0.4673707466483673
90067,2235,1563,17,0,540,30,25,30,0.6993288590604027
90068,21726,16146,680,0,1534,2315,67,975,0.7431648715824358
90069,20401,14601,697,19,1495,2484,127,940,0.7157002107739817
90071,0,0,0,0,0,0,0,0,
90073,944,331,313,0,76,175,12,37,0.350635593220339
90077,8936,6963,247,0,825,599,22,280,0.7792076991942704
90079,0,0,0,0,0,0,0,0,
90089,3846,1729,236,0,1228,434,36,157,0.4495579823192928
90090,0,0,0,0,0,0,0,0,
90094,8568,4207,944,0,2222,910,0,285,0.4910130718954248
90095,0,0,0,0,0,0,0,0,
90201,102878,3665,776,131,829,97090,23,253,0.03562472054277883
90210,20016,16546,188,9,1680,804,116,673,0.826638689048761
90211,8019,5987,170,0,939,698,0,225,0.7466018206758948
90212,13207,10099,174,14,1351,871,27,671,0.7646702506246688
90220,51713,1492,18971,2,453,30166,125,301,0.02885154603291242
90221,54259,543,11014,31,447,41826,0,398,0.010007556350098602
90222,32585,324,8827,154,135,22791,31,106,0.009943225410464938
90230,32657,12556,2487,22,5507,10391,343,1265,0.384481121964663
90232,14865,7109,911,1,2258,3889,0,697,0.4782374705684494
90240,26339,4198,722,15,1775,19422,51,156,0.15938342382019058
90241,44097,6214,899,51,2900,33429,125,455,0.14091661564278748
90242,42922,5229,2287,37,3405,31086,94,295,0.12182563720236708
90245,16929,10943,283,24,1530,3024,62,1043,0.6464055762301376
90247,47969,3325,8605,62,11740,23192,170,836,0.06931559965811253
90248,10899,1110,1577,21,3495,4475,44,134,0.10184420589044867
90249,26286,3563,7341,38,3824,9702,227,908,0.13554743970174238
90250,97371,10175,21032,112,7214,53463,459,4232,0.10449723223547051
90254,19750,15625,236,198,1191,1781,88,631,0.7911392405063291
90255,75636,1139,514,56,458,73173,65,88,0.015058966629647258
