zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent
89010,487,295,5,0,0,187,0,0,0.6057494866529775
89019,2376,1552,96,0,76,650,0,2,0.6531986531986532
89060,9042,6681,457,22,69,1439,0,263,0.738885202388852
89061,5828,4547,101,40,133,656,0,351,0.7801990391214825
89439,1355,1261,5,13,0,76,0,0,0.9306273062730628
90001,58975,413,5138,37,67,53086,168,66,0.007002967359050445
90002,53111,223,10110,395,322,41673,153,147,0.004198753553877728
90003,72741,392,15654,82,205,56050,148,210,0.005388982829490934
90004,61586,10820,2258,41,15232,31479,218,1399,0.17568928003117593
90005,39479,3020,2306,77,13791,19437,126,646,0.07649636515615897
90006,61698,2415,1806,66,11470,45292,155,384,0.03914227365554799
90007,41716,6506,4418,53,8504,20987,149,1029,0.15595934413654233
90008,31739,1388,20640,96,1102,7619,177,690,0.043731686568574936
90010,3702,516,153,39,2463,361,8,120,0.1393841166936791
90011,109414,657,8206,129,517,99654,56,174,0.006004716032683204
90012,35913,5595,4695,230,13988,10366,169,786,0.15579316681981456
90013,11937,3509,3597,91,2118,1860,52,637,0.29395995643796596
90014,8335,3359,1713,45,1486,1328,41,363,0.402999400119976
90015,21801,2682,1341,10,3651,13715,34,355,0.1230218797302876
90016,46581,4246,13937,49,2266,24799,248,1005,0.09115304523303493
90017,26728,2893,1737,9,4364,17197,4,428,0.10823855133193655
90018,53256,2839,15139,0,2607,31714,266,621,0.053308547393720894
90019,66245,9632,12588,93,11101,30746,523,1484,0.1453996528039852
90020,39102,4862,2447,119,17822,12287,76,1081,0.12434146590967214
90021,2922,677,544,33,88,1408,15,157,0.23169062286105407
90022,65890,1405,334,136,883,62880,109,121,0.021323417817574745
90023,46780,709,451,9,361,45196,0,54,0.015156049593843523
90024,50288,25382,1091,50,13941,6860,106,2816,0.5047327394209354
90025,47967,25871,1812,23,10308,7450,150,2339,0.5393499697708841
90026,69589,18118,2351,79,10657,36452,74,1765,0.26035724036844904
90027,44686,26782,1023,0,5670,9455,182,1497,0.5993376001432216
90028,30734,14666,2905,118,2958,8631,238,1206,0.47719138413483436
90029,37898,9087,1100,21,6512,20581,62,472,0.2397751860256478
90031,38535,2954,480,41,8614,26001,5,409,0.07665758401453224
90032,47627,3512,627,108,4955,37852,128,439,0.07373968547252609
90033,47583,1549,818,85,2053,42864,35,158,0.03255364310783263
90034,55652,22194,5333,106,10904,14399,553,2049,0.3987996837490117
90035,28085,19718,1807,0,2199,2985,183,1180,0.7020829624354638
90036,37988,23817,2070,41,6038,4069,479,1375,0.6269611456249342
90037,65016,1189,11087,94,740,51067,336,503,0.018287806078503752
90038,27660,8257,1598,28,1431,15298,160,888,0.2985177151120752
90039,29589,11412,356,224,4466,11865,57,1167,0.3856838690053736
90040,12645,159,180,113,73,12050,14,56,0.012574139976275208
90041,29516,8784,548,33,8392,10787,124,726,0.29760130098929394
90042,63911,11141,1251,212,8273,41346,269,1325,0.17432053950024254
90043,44627,1912,26293,99,534,14331,360,1072,0.042844018195262956
90044,96436,1134,31330,120,487,62443,166,739,0.0117590941142312
90045,41149,20354,5102,90,5707,7609,105,2134,0.49464142506500763
90046,50587,36967,2300,34,3253,5672,182,2131,0.7307608674165299
90047,48883,916,30525,10,234,16245,188,667,0.018738620788413148
90048,22892,17337,777,108,1633,1860,52,1112,0.7573388083173161
90049,36964,29579,629,50,2861,2173,56,1616,0.8002110161237961
90056,7795,933,5383,0,490,604,0,385,0.11969211032713278
90057,49492,3087,1866,32,9468,34393,88,475,0.062373716964357874
90058,2758,73,159,0,13,2501,0,7,0.026468455402465556
90059,45952,560,13412,2,170,31441,179,188,0.012186629526462395
90061,27646,303,8681,39,101,17909,194,405,0.010959994212544311
90062,34422,532,10860,0,573,21811,265,369,0.015455232118993667
90063,52951,1208,206,28,614,50710,76,72,0.022813544597835734
90064,25429,16107,675,69,4490,3130,29,881,0.6334106728538283
90065,47887,9899,826,0,7719,28428,70,942,0.2067158101363627
90066,59394,28180,2321,143,8381,17187,319,2744,0.47445869953193925
90067,2314,1628,26,0,550,85,25,0,0.7035436473638721
90068,20982,15377,795,0,1426,2340,143,881,0.7328662663235154
90069,20435,15239,599,25,1482,2158,83,800,0.7457303645705897
90071,0,0,0,0,0,0,0,0,
90073,916,369,226,0,99,185,0,37,0.4028384279475983
90077,8993,7079,197,0,844,528,30,315,0.787167797175581
90079,0,0,0,0,0,0,0,0,
90089,3862,1651,267,0,1268,473,29,147,0.42749870533402384
90090,0,0,0,0,0,0,0,0,
90094,9368,4761,850,0,2104,1374,0,279,0.5082194705380018
90095,0,0,0,0,0,0,0,0,
90201,102433,3784,895,101,737,96559,37,201,0.036941220114611505
90210,19909,16338,198,15,1782,829,89,658,0.8206338841729871
90211,7969,5671,297,0,1041,757,23,180,0.7116325762329025
90212,13156,10272,178,34,1009,827,29,807,0.780784432958346
90220,53703,1312,18866,38,409,32455,77,303,0.024430664953540772
90221,52322,564,9966,47,448,40855,37,405,0.010779404457016169
90222,32850,349,7983,158,215,23951,20,140,0.010624048706240487
90230,32808,11971,3075,17,5432,10502,292,1454,0.36488051694708606
90232,14660,7202,815,4,2403,3619,0,617,0.491268758526603
90240,26205,4825,315,13,1997,18699,57,299,0.1841251669528716
90241,44143,6365,1017,62,3137,33037,96,412,0.14419047187549555
90242,42553,5104,2088,52,2851,31680,119,328,0.11994453975042887
90245,16850,10780,628,21,1630,2178,86,1519,0.6397626112759643
90247,47531,3297,8700,48,11327,23178,228,732,0.06936525635900781
90248,11512,1164,1726,6,3553,4785,53,185,0.10111188325225852
90249,26587,3564,7336,35,3907,9988,258,865,0.13405047579644186
90250,96836,10865,21397,162,7666,52103,430,3803,0.11220000826139039
90254,19650,15174,264,151,1219,1923,67,852,0.7722137404580153
90255,75560,1109,517,41,382,73228,82,67,0.014677077818951827
90260,35161,6098,2575,47,4078,21170,160,762,0.17343078979551207
90262,70936,1678,5815,247,513,62168,33,204,0.023655125747152363
90263,1846,784,87,0,477,365,0,123,0.4247020585048754
90265,18389,15008,297,35,658,1666,0,691,0.8161400837457176
90266,35573,26441,150,59,4225,2969,105,1624,0.7432884491046581
90270,27454,364,93,16,68,26897,8,8,0.013258541560428353
90272,22551,18651,100,21,1360,1120,34,1259,0.8270586670214182
90274,25279,15857,266,2,5908,2338,44,854,0.6272795601091815
90275,42421,22209,754,65,13041,3793,39,2203,0.5235378703943802
90277,34506,23178,813,50,3662,5138,160,1493,0.6717092679533994
90278,40649,23019,1337,132,5837,7251,376,2647,0.5662869935299761
90280,95103,2954,620,72,703,90380,32,164,0.031061060113771386
90290,5371,4540,90,0,246,312,45,138,0.8452802085272761
90291,27525,18749,1489,49,867,5235,72,1045,0.6811625794732061
90292,22490,15983,1613,0,2110,1944,195,599,0.7106714095153401
90293,12694,7819,796,54,1700,1627,126,572,0.6159602962029305
90301,37291,1487,11721,241,665,22154,132,673,0.039875573194604594
90302,30828,1906,13048,29,647,14114,108,930,0.061826910600752565
90303,24693,646,8212,38,388,15033,17,359,0.026161260276191634
90304,25591,488,750,19,692,23296,115,39,0.01906920401703724
90305,15397,421,12308,0,169,1951,34,461,0.02734298889394038
90401,7256,4891,641,8,563,866,0,287,0.6740628445424476
90402,11866,9350,96,0,917,981,49,473,0.7879656160458453
90403,24354,17983,413,32,2317,2165,73,1335,0.7384002627905067
90404,22819,10507,1674,16,3055,6443,73,1024,0.4604496253122398
90405,28115,18246,1136,45,2265,4498,159,1733,0.6489774141917126
90501,42335,9438,2409,150,10609,17538,233,1582,0.22293610487776072
90502,18188,2703,1265,20,6518,7149,39,441,0.14861447107983286
90503,44908,18073,970,72,18128,5356,119,1799,0.4024449986639352
90504,33721,8814,1101,142,13076,8559,168,1735,0.2613801488686575
90505,37641,16191,901,126,13667,4966,89,1625,0.4301426635849207
90506,0,0,0,0,0,0,0,0,
90601,33058,6328,280,217,2460,23418,45,310,0.19142113860487628
90602,25981,4616,382,65,888,19556,324,124,0.17766829606250722
90603,21299,7724,168,4,1068,11828,118,349,0.3626461336212968
90604,42063,9616,316,96,2386,28693,408,507,0.22860946675225258
90605,40957,6522,273,87,1681,31319,485,375,0.15924017872402763
90606,32803,2886,261,342,585,28573,20,123,0.08797975794896808
90620,46842,13885,1025,56,14390,15643,71,1356,0.29642201443149313
90621,35398,6016,1465,122,11247,15878,0,415,0.16995310469518052
90623,15813,4059,867,90,7380,2749,13,553,0.25668753557199775
90630,49169,18628,1842,85,16785,9566,202,1886,0.37885659663609184
90631,69502,19980,644,174,8459,39263,83,899,0.287473741762827
90638,49383,16276,984,145,9920,20698,54,1268,0.329587104874147
90640,63177,4524,640,118,8252,49258,0,354,0.07160833847761053
90650,105886,10990,4270,260,14586,74241,210,922,0.10379086942560867
90660,63380,3348,367,189,1733,57451,54,192,0.052824234774376776
90670,16578,2035,659,85,1152,12341,205,101,0.12275304620581494
90680,30321,6331,398,236,8237,14394,59,458,0.20879918208502357
90701,16858,2821,482,48,6198,6689,27,529,0.16733894886700676
90703,50963,7559,3669,163,30200,7226,47,1887,0.1483232933696996
90704,3922,1629,1,0,2,2226,0,63,0.4153493115757267
90706,77529,12698,9430,155,9748,43166,395,1488,0.16378387442118433
90710,28185,5016,3531,0,5544,12727,24,767,0.17796700372538585
90712,31063,10903,2920,79,5612,10649,105,673,0.35099636223159386
90713,29061,13813,1401,0,3425,8335,94,1456,0.47531055366298475
90715,20136,3899,1431,30,5732,8395,19,410,0.19363329360349624
90716,14344,849,780,0,1481,11019,54,161,0.05918851087562744
90717,21696,8768,1031,55,3266,7571,87,909,0.40412979351032446
90720,22389,13400,686,80,2823,4188,18,1156,0.5985081959891018
90723,54776,2649,5392,13,1424,44273,109,459,0.04836059588140792
90731,61850,17463,4113,76,2572,34988,95,2491,0.28234438156831043
90732,22273,11257,1074,12,2563,6543,36,719,0.505410137835047
90740,24494,17251,480,66,2540,3183,59,861,0.7042949293704581
90742,699,576,0,24,10,78,0,11,0.8240343347639485
90743,267,222,6,0,15,15,0,0,0.8314606741573034
90744,57206,2332,1238,30,1568,51389,27,493,0.04076495472502884
90745,56821,4083,4047,107,20275,25059,5,1601,0.0718572358811003
90746,26996,1854,16825,78,1871,5036,87,784,0.06867684101348348
90747,0,0,0,0,0,0,0,0,
90755,11555,3233,1313,34,2698,3848,10,396,0.2797922977066205
90802,39453,14909,5495,174,3112,13996,231,1278,0.37789268243226115
90803,32389,22304,1512,41,2580,4822,15,1044,0.6886288554756245
90804,39344,10391,4681,169,5820,17036,65,1095,0.2641063440422936
90805,96708,7469,18576,333,10371,56877,103,1520,0.07723249369235223
90806,42817,3931,6860,188,8435,22163,150,619,0.09180932807062615
90807,32067,11806,5254,26,5090,8275,157,1224,0.3681666510743132
90808,38860,22106,1903,235,3752,9138,45,1595,0.5688625836335564
90810,38579,2323,4094,41,8526,21238,131,1356,0.060214106119909794
90813,59000,4662,7007,107,7462,38443,35,1132,0.07901694915254237
90814,18587,9955,1536,17,1646,4691,13,638,0.5355893904341744
90815,41026,23710,2112,152,5071,8297,67,1590,0.57792619314581
90822,139,83,28,0,3,8,0,17,0.5971223021582733
90831,0,0,0,0,0,0,0,0,
91001,37711,13351,9198,36,2186,11308,179,1390,0.35403463180504363
91006,33012,7484,380,72,19295,4583,9,1004,0.22670544044589847
91007,34523,7441,663,140,20942,4328,123,856,0.21553746777510646
91008,1141,593,18,12,375,135,0,8,0.5197195442594216
91010,26601,5267,1845,85,4030,14720,80,565,0.19800007518514343
91011,20423,11450,126,0,6181,1803,45,818,0.5606424129657739
91016,41671,14430,2267,16,5691,17507,73,1462,0.3462839864654076
91020,8720,3952,146,0,2187,2177,0,241,0.45321100917431195
91024,11006,7220,120,7,1358,1772,144,364,0.6560058150099946
91030,25794,10931,663,59,7678,5039,181,1222,0.42378072419942625
91040,20207,12791,192,13,2134,4550,113,414,0.632998465878161
91042,26631,16388,567,76,1869,6954,39,566,0.6153730614697157
91046,143,100,0,0,0,9,0,0,0.6993006993006993
91101,21394,7965,1369,0,5194,6258,92,486,0.3723006450406656
91103,28425,5498,4866,72,2129,15274,57,529,0.1934212840809147
91104,37974,15141,3059,2,3814,14506,138,1176,0.39872017696318535
91105,12191,6866,691,0,2272,1727,115,520,0.5632023623984906
