"GEO_ID","P005001","P005002","P005003","P005004","P005005","P005006","P005007","P005008","P005009","P005010","P005011","P005012","P005013","P005014","P005015","P005016","P005017","NAME"
"id","Total","Total!!Not Hispanic or Latino","Total!!Not Hispanic or Latino!!White alone","Total!!Not Hispanic or Latino!!Black or African American alone","Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Not Hispanic or Latino!!Asian alone","Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Not Hispanic or Latino!!Some Other Race alone","Total!!Not Hispanic or Latino!!Two or More Races","Total!!Hispanic or Latino","Total!!Hispanic or Latino!!White alone","Total!!Hispanic or Latino!!Black or African American alone","Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Hispanic or Latino!!Asian alone","Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Hispanic or Latino!!Some Other Race alone","Total!!Hispanic or Latino!!Two or More Races","Geographic Area Name"
"8600000US89010","415","310","264","2","27","1","0","0","16","105","50","0","8","0","0","37","10","ZCTA5 89010"
"8600000US89019","2673","2239","1922","83","19","118","9","8","80","434","217","4","2","1","0","179","31","ZCTA5 89019"
"8600000US89060","10227","8847","8101","191","98","109","42","14","292","1380","589","13","32","6","17","629","94","ZCTA5 89060"
"8600000US89061","5252","4556","4132","126","60","90","26","9","113","696","408","0","4","2","0","210","72","ZCTA5 89061"
"8600000US89439","1417","1349","1293","3","7","16","12","0","18","68","56","0","1","0","0","9","2","ZCTA5 89439"
"8600000US90001","57110","6566","356","5857","39","86","14","85","129","50544","20153","276","371","59","13","27676","1996","ZCTA5 90001"
"8600000US90002","51223","13625","330","12723","62","102","21","84","303","37598","14062","378","309","46","12","21155","1636","ZCTA5 90002"
"8600000US90003","66266","16880","462","15672","80","105","18","171","372","49386","19416","509","436","44","40","26797","2144","ZCTA5 90003"
"8600000US90004","62180","30193","10466","1962","94","16540","39","216","876","31987","12739","225","403","164","16","16538","1902","ZCTA5 90004"
"8600000US90005","37681","18103","3039","1788","35","12661","9","81","490","19578","7914","219","282","79","31","9859","1194","ZCTA5 90005"
"8600000US90006","59185","15111","1861","1862","77","10822","32","146","311","44074","17008","317","549","112","14","23611","2463","ZCTA5 90006"
"8600000US90007","40920","18753","7053","4306","39","6243","34","207","871","22167","8796","241","235","74","10","11503","1308","ZCTA5 90007"
"8600000US90008","32327","24766","731","22152","63","820","24","173","803","7561","2016","429","81","9","6","4565","455","ZCTA5 90008"
"8600000US90010","3800","3457","723","160","3","2503","1","4","63","343","161","7","5","11","0","131","28","ZCTA5 90010"
"8600000US90011","103892","11013","720","9189","53","499","8","224","320","92879","34418","575","1166","92","29","52535","4064","ZCTA5 90011"
"8600000US90012","31103","22677","4342","4085","46","13637","48","57","462","8426","4090","175","140","59","8","3546","408","ZCTA5 90012"
"8600000US90013","11772","9363","3301","3731","103","1814","14","34","366","2409","1085","79","65","21","3","1013","143","ZCTA5 90013"
"8600000US90014","7005","5626","2158","2005","60","1135","10","18","240","1379","655","53","29","14","1","518","109","ZCTA5 90014"
"8600000US90015","18986","6111","1944","1240","22","2638","9","60","198","12875","4767","94","174","33","6","7129","672","ZCTA5 90015"
"8600000US90016","47596","22134","2127","17291","103","1434","34","247","898","25462","9526","538","326","39","20","13536","1477","ZCTA5 90016"
"8600000US90017","23768","7242","2335","1296","58","3198","23","67","265","16526","5931","134","423","27","1","8984","1026","ZCTA5 90017"
