"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"319","101","183","59","150","50","0","12","29","31","0","12","0","12","0","12","4","6","0","12","4","6","136","80","97","60","0","12","0","12","0","12","0","12","39","51","0","12","0","12","0","12","8600000US89010","ZCTA5 89010"
"1892","619","1672","577","1368","582","96","83","0","12","190","103","0","12","0","12","18","28","0","12","18","28","220","185","90","57","0","12","0","12","0","12","0","12","104","133","26","40","26","40","0","12","8600000US89019","ZCTA5 89019"
"10281","957","8543","872","7756","796","508","283","37","46","69","85","17","30","48","74","108","76","0","19","108","76","1738","517","1257","454","0","19","0","19","0","19","0","19","469","346","12","20","0","19","12","20","8600000US89060","ZCTA5 89060"
"4669","653","4143","647","3342","583","181","131","144","137","302","171","69","114","0","12","105","82","0","12","105","82","526","221","445","238","0","12","0","12","0","12","0","12","72","74","9","18","0","12","9","18","8600000US89061","ZCTA5 89061"
"1687","269","1627","289","1607","291","0","12","0","12","0","12","0","12","0","12","20","32","0","12","20","32","60","70","44","67","0","12","0","12","0","12","0","12","16","27","0","12","0","12","0","12","8600000US89439","ZCTA5 89439"
"54760","1782","5193","603","471","209","4475","559","28","33","70","38","0","29","12","18","137","77","35","39","102","72","49567","1866","32415","1878","183","101","207","215","8","12","0","29","16207","1523","547","209","457","198","90","72","8600000US90001","ZCTA5 90001"
"49475","2258","13501","1133","437","224","12770","1171","65","52","67","51","12","15","7","11","143","96","37","58","106","108","35974","2400","25946","2138","122","94","126","100","0","26","23","36","9361","1275","396","159","300","148","96","60","8600000US90002","ZCTA5 90002"
"66200","2326","17800","1294","449","235","16725","1277","121","117","102","97","19","33","70","56","314","217","13","19","301","215","48400","2336","17536","1679","265","136","426","240","1","2","16","22","29499","2085","657","258","366","190","291","186","8600000US90003","ZCTA5 90003"
"62760","1578","30488","1232","11326","696","1887","410","113","79","15536","996","140","194","520","290","966","267","85","86","881","265","32272","1644","9839","1116","85","87","275","179","105","110","0","29","21433","1403","535","195","420","161","115","86","8600000US90004","ZCTA5 90004"
"39548","1536","17968","986","3062","405","1698","335","99","49","12514","917","244","232","147","121","204","101","18","31","186","91","21580","1348","5134","788","267","167","169","134","70","87","0","26","15617","1361","323","116","190","103","133","72","8600000US90005","ZCTA5 90005"
"59498","1606","15342","951","2269","484","1719","335","63","50","10741","789","280","271","21","32","249","92","30","28","219","88","44156","1679","10811","1038","190","118","300","215","8","37","0","29","32006","1777","841","307","599","270","242","155","8600000US90006","ZCTA5 90006"
"43173","1852","20410","1247","7853","665","4211","568","54","67","7308","787","146","161","286","136","552","150","31","38","521","145","22763","1656","6846","857","70","45","103","82","90","59","0","26","15002","1612","652","245","526","246","126","57","8600000US90007","ZCTA5 90007"
"33280","1704","25659","1604","870","244","22633","1642","41","47","835","246","128","148","294","179","858","321","40","40","818","311","7621","1009","2814","837","234","154","30","40","0","26","0","26","4431","716","112","72","85","66","27","45","8600000US90008","ZCTA5 90008"
"4133","541","3725","513","583","160","60","52","77","112","2929","484","0","12","0","12","76","102","0","12","76","102","408","201","230","162","0","12","0","12","0","12","0","12","167","113","11","18","0","12","11","18","8600000US90010","ZCTA5 90010"
"100882","2472","9528","928","655","194","7402","828","85","61","576","160","157","163","330","225","323","147","36","41","287","142","91354","2687","27506","2183","239","132","356","189","48","53","0","29","62038","2881","1167","293","1019","274","148","96","8600000US90011","ZCTA5 90011"
"29528","1157","21447","1041","4820","484","3206","423","42","42","12553","861","297","233","17","23","512","212","121","154","391","144","8081","666","3655","512","55","38","19","29","43","40","0","23","4051","552","258","98","121","60","137","84","8600000US90012","ZCTA5 90012"
