"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"368","108","222","74","181","62","0","11","36","38","0","11","0","11","0","11","5","8","0","11","5","8","146","88","67","48","0","11","0","11","0","11","0","11","79","77","0","11","0","11","0","11","8600000US89010","ZCTA5 89010"
"1843","634","1611","619","1411","603","49","40","0","11","151","110","0","11","0","11","0","11","0","11","0","11","232","151","173","111","0","11","0","11","0","11","0","11","49","82","10","25","10","25","0","11","8600000US89019","ZCTA5 89019"
"9831","886","8128","756","7412","768","436","242","36","48","49","67","17","31","58","90","120","95","0","18","120","95","1703","424","1103","327","0","18","0","18","0","18","0","18","586","337","14","22","0","18","14","22","8600000US89060","ZCTA5 89060"
"4938","612","4207","564","3461","560","166","146","31","48","451","184","41","69","0","11","57","64","0","11","57","64","731","263","538","282","0","11","0","11","0","11","0","11","185","216","8","14","0","11","8","14","8600000US89061","ZCTA5 89061"
"1563","210","1443","214","1423","215","0","11","0","11","0","11","0","11","0","11","20","32","0","11","20","32","120","115","104","113","0","11","0","11","0","11","0","11","16","27","0","11","0","11","0","11","8600000US89439","ZCTA5 89439"
"56314","1813","5736","520","390","205","5112","518","17","28","74","45","0","29","12","18","131","82","26","30","105","76","50578","1851","27707","1946","218","126","446","437","9","14","0","29","21600","1928","598","209","436","195","162","108","8600000US90001","ZCTA5 90001"
"50098","1993","12933","1063","407","195","12153","1061","53","49","151","70","18","20","6","11","145","116","0","26","145","116","37165","1927","23828","2034","163","135","152","126","0","26","31","43","12683","1444","308","122","198","102","110","68","8600000US90002","ZCTA5 90002"
"66913","1801","17323","1274","331","160","16214","1230","125","124","241","217","21","40","55","41","336","234","1","2","335","234","49590","1774","14648","1447","272","133","386","211","1","3","8","14","33529","1830","746","274","397","205","349","193","8600000US90003","ZCTA5 90003"
"63547","1660","31245","1197","11034","849","2053","351","70","64","16118","848","190","224","549","293","1231","369","141","105","1090","341","32302","1626","10917","1262","218","168","216","155","181","154","0","29","20153","1528","617","207","459","160","158","92","8600000US90004","ZCTA5 90004"
"38638","1340","18240","984","3281","418","1453","298","98","61","12819","885","8","12","189","145","392","151","42","50","350","142","20398","1317","4273","694","201","115","121","101","57","75","0","26","15450","1173","296","127","113","81","183","104","8600000US90005","ZCTA5 90005"
"61419","1676","15615","1065","2079","468","1767","420","58","47","11040","821","283","233","67","61","321","117","37","29","284","116","45804","1416","9013","970","223","145","404","268","56","82","0","29","35281","1465","827","265","621","226","206","146","8600000US90006","ZCTA5 90006"
"43779","1457","20964","1041","7554","684","4376","569","21","26","8082","761","143","148","218","140","570","166","10","16","560","167","22815","916","5048","612","60","35","156","104","106","84","0","26","16899","1066","546","232","438","223","108","55","8600000US90007","ZCTA5 90007"
"33012","1395","25690","1358","670","209","22624","1363","62","72","1065","342","94","103","225","128","950","316","31","35","919","312","7322","987","3340","796","254","120","35","36","0","26","0","26","3452","759","241","156","113","76","128","131","8600000US90008","ZCTA5 90008"
"3792","505","3462","484","590","165","69","61","10","15","2793","457","0","12","0","12","0","12","0","12","0","12","330","140","157","119","0","12","0","12","0","12","0","12","154","77","19","22","6","9","13","20","8600000US90010","ZCTA5 90010"
"102926","2667","9854","883","476","178","7909","768","81","56","602","188","159","203","272","162","355","163","41","40","314","150","93072","2899","29694","2350","341","164","474","206","61","59","0","29","61618","2901","884","285","693","245","191","119","8600000US90011","ZCTA5 90011"
"30029","1344","22225","1110","4933","686","3490","442","60","66","13012","788","204","161","50","31","476","166","148","134","328","120","7804","847","3629","429","44","32","84","64","42","36","0","23","3726","756","279","100","136","70","143","78","8600000US90012","ZCTA5 90012"
"10575","1226","8653","1032","2762","458","3446","950","23","29","1775","258","0","19","165","119","482","207","17","26","465","202","1922","394","623","195","7","14","87","80","8","12","0","19","999","382","198","100","126","78","72","53","8600000US90013","ZCTA5 90013"
"6659","662","5463","636","2807","520","1300","429","53","51","1081","175","33","53","46","57","143","84","52","64","91","58","1196","276","491","186","0","17","13","21","41","66","0","17","488","184","163","143","103","121","60","63","8600000US90014","ZCTA5 90014"
"18226","1057","6128","553","2107","311","1078","314","8","13","2801","469","11","17","0","19","123","73","0","19","123","73","12098","999","3670","672","86","60","209","177","23","28","15","23","7915","918","180","94","120","71","60","59","8600000US90015","ZCTA5 90015"
"47786","1585","22650","1008","2321","339","17554","983","109","120","1486","267","11","17","270","135","899","293","181","165","718","240","25136","1591","11297","1430","462","246","355","219","45","50","0","26","12226","1387","751","246","537","242","214","110","8600000US90016","ZCTA5 90016"
"23719","1116","7674","597","2950","376","1079","219","62","42","3401","417","144","204","0","23","38","29","0","23","38","29","16045","1144","4301","616","125","65","249","205","23","23","5","7","10795","1151","547","319","534","320","13","14","8600000US90017","ZCTA5 90017"
"48852","1601","20389","1319","2134","428","15166","1205","23","18","1652","373","0","26","686","280","728","249","80","52","648","250","28463","1593","7787","1153","535","274","734","456","0","26","0","26","18565","1439","842","366","759","357","83","57","8600000US90018","ZCTA5 90018"
"67606","1982","35898","1725","9653","755","14252","1174","60","51","10059","959","78","79","269","156","1527","406","79","47","1448","401","31708","1633","15500","1317","158","80","545","354","96","63","0","29","14710","1484","699","213","481","164","218","138","8600000US90019","ZCTA5 90019"
"39102","1364","24996","1105","4429","465","1898","407","98","98","17774","979","132","185","54","58","611","236","102","129","509","189","14106","969","5334","940","150","107","20","40","29","30","6","10","8354","995","213","119","158","101","55","44","8600000US90020","ZCTA5 90020"
"2913","642","1448","405","527","177","662","273","30","49","136","88","0","12","0","12","93","99","56","93","37","29","1465","420","585","247","73","109","0","12","0","12","0","12","766","293","41","53","10","16","31","50","8600000US90021","ZCTA5 90021"
"69516","2221","1718","299","829","182","231","133","51","54","542","190","0","29","25","31","40","31","6","9","34","34","67798","2233","47030","2361","104","55","266","162","92","84","13","18","19230","1716","1063","327","777","269","286","142","8600000US90022","ZCTA5 90022"
"45886","1588","1816","389","1082","343","262","150","22","22","422","135","0","26","0","26","28","29","0","26","28","29","44070","1637","22597","1637","265","250","275","190","31","49","0","26","19970","1543","932","343","540","278","392","232","8600000US90023","ZCTA5 90023"
"50117","2983","45563","2583","28117","1350","1379","396","79","90","13815","1860","44","42","217","195","1912","315","162","121","1750","325","4554","809","2302","540","39","32","30","27","61","43","0","29","1674","449","448","237","120","62","328","226","8600000US90024","ZCTA5 90024"
"45284","1430","36873","1089","24372","1039","831","271","0","26","9684","897","166","239","47","43","1773","358","107","91","1666","349","8411","1178","3878","798","42","33","570","556","22","41","0","26","3640","1241","259","125","62","50","197","117","8600000US90025","ZCTA5 90025"
"67986","1728","30216","1150","15815","951","1875","401","178","126","11059","800","63","48","225","177","1001","255","66","65","935","239","37770","1788","28649","1831","202","137","141","87","165","114","0","29","7809","1106","804","308","549","286","255","131","8600000US90026","ZCTA5 90026"
"46025","1457","36236","1390","27064","1229","1211","231","21","22","6332","702","34","42","217","132","1357","391","103","72","1254","384","9789","751","3531","485","61","69","164","159","85","66","0","26","5366","759","582","187","443","175","139","61","8600000US90027","ZCTA5 90027"
"29994","1214","20032","961","15038","950","1853","433","197","144","2205","425","11","19","53","47","675","171","22","37","653","177","9962","993","2928","637","112","97","87","80","78","72","59","68","6307","924","391","179","302","153","89","71","8600000US90028","ZCTA5 90028"
"40161","1245","16928","991","8809","824","1070","274","7","17","6281","666","0","26","119","89","642","213","50","43","592","203","23233","1319","8724","888","150","156","122","95","25","31","0","26","13528","1475","684","252","467","242","217","112","8600000US90029","ZCTA5 90029"
"39333","1267","12907","704","1871","271","306","130","96","99","10152","671","106","120","98","94","278","186","0","26","278","186","26426","1360","12880","1213","237","143","146","111","70","71","0","26","12361","1384","732","279","517","233","215","138","8600000US90031","ZCTA5 90031"
"47309","1520","8628","733","3220","468","711","297","56","47","4344","546","44","59","50","69","203","91","25","25","178","91","38681","1455","21558","1425","107","93","316","254","94","67","0","26","15793","1328","813","244","497","213","316","117","8600000US90032","ZCTA5 90032"
"48567","1626","4321","485","1053","227","625","237","44","45","2486","397","76","58","0","26","37","37","1","3","36","37","44246","1689","25923","1677","97","71","243","171","99","67","39","34","17111","1523","734","219","546","203","188","86","8600000US90033","ZCTA5 90033"
"58968","1578","41264","1349","22608","1141","4822","704","75","54","10966","817","156","128","262","181","2375","506","695","355","1680","323","17704","1406","13366","1329","230","157","66","52","74","54","66","57","2988","593","914","337","433","161","481","310","8600000US90034","ZCTA5 90034"
"31399","1154","28108","1136","21263","1154","2735","504","106","97","2511","494","7","13","189","196","1297","376","18","19","1279","377","3291","473","1305","328","17","27","76","117","0","26","5","9","1692","426","196","99","137","91","59","45","8600000US90035","ZCTA5 90035"
"36425","1054","32974","1119","22390","1074","1250","335","65","69","7636","788","101","121","149","177","1383","344","54","47","1329","337","3451","629","1493","467","70","54","11","14","8","14","0","26","1673","389","196","114","158","105","38","35","8600000US90036","ZCTA5 90036"
"61536","1815","14258","1082","1079","395","11882","1016","36","32","639","213","0","29","169","84","453","218","68","49","385","213","47278","1635","11271","1268","108","87","291","228","9","16","0","29","34930","1730","669","227","556","211","113","77","8600000US90037","ZCTA5 90037"
"28798","1220","12227","779","8303","715","1419","367","10","16","1755","353","50","82","64","43","626","178","161","109","465","153","16571","1114","3269","636","99","81","100","87","25","30","0","23","12498","1158","580","226","426","209","154","90","8600000US90038","ZCTA5 90038"
"27843","1000","16920","773","10537","750","631","280","16","23","4880","475","50","58","21","22","785","250","102","86","683","215","10923","808","5023","766","10","16","76","73","92","109","0","23","5358","837","364","149","171","104","193","108","8600000US90039","ZCTA5 90039"
"12830","464","548","164","252","119","118","116","10","16","123","110","0","19","18","21","27","25","0","19","27","25","12282","511","8873","718","0","19","48","44","0","19","0","19","2961","561","400","151","246","138","154","71","8600000US90040","ZCTA5 90040"
"28439","985","17908","865","8645","620","353","134","9","15","8170","777","19","24","35","44","677","260","19","21","658","259","10531","834","6807","926","50","73","100","83","146","98","0","23","2927","601","501","197","274","133","227","125","8600000US90041","ZCTA5 90041"
"61034","1539","19143","934","9108","727","1723","392","100","64","7090","651","72","64","45","36","1005","242","29","30","976","238","41891","1510","22641","1502","120","73","167","90","138","83","16","29","17683","1539","1126","292","580","165","546","213","8600000US90042","ZCTA5 90042"
"43118","1557","29894","1559","1574","432","25789","1537","82","77","674","291","31","40","254","169","1490","438","102","74","1388","430","13224","1267","5730","951","518","185","49","61","66","84","62","67","6456","1127","343","174","309","170","34","25","8600000US90043","ZCTA5 90043"
"88412","2496","34807","1508","1005","318","32005","1384","20","25","354","191","88","97","183","113","1152","359","202","166","950","369","53605","2204","24959","2199","568","254","205","121","0","29","8","14","26929","1915","936","325","469","218","467","237","8600000US90044","ZCTA5 90044"
"41453","1420","34334","1306","21224","909","5667","783","102","63","5220","698","98","75","112","85","1911","373","98","84","1813","368","7119","867","4304","694","89","69","73","65","114","125","0","26","1868","537","671","279","226","132","445","258","8600000US90045","ZCTA5 90045"
"51329","1370","46208","1308","38513","1315","2024","432","150","151","2886","633","70","60","348","209","2217","419","169","123","2048","403","5121","655","2527","435","37","37","51","55","46","36","7","12","1693","422","760","326","503","286","257","140","8600000US90046","ZCTA5 90046"
"46999","1769","32367","1295","556","208","30500","1285","27","32","317","237","79","92","125","83","763","300","90","84","673","299","14632","1251","7009","1192","416","282","124","102","0","26","0","26","6763","1052","320","204","151","144","169","133","8600000US90047","ZCTA5 90047"
"22409","1031","20744","1032","17381","1016","505","190","10","12","2124","427","8","14","28","35","688","189","141","120","547","157","1665","371","944","225","43","64","0","23","3","5","0","23","558","244","117","70","59","68","58","62","8600000US90048","ZCTA5 90048"
"35262","1001","32961","946","28254","988","261","112","20","23","3195","450","16","18","16","24","1199","269","52","60","1147","269","2301","387","1805","349","6","8","0","26","5","9","0","26","318","127","167","85","52","51","115","63","8600000US90049","ZCTA5 90049"
